Time (min),Intensity (a.u.)
0.016666668,330.8618164
0.050000001,330.0348816
0.083333336,331.0132446
0.116666667,332.5251465
0.150000006,331.5805054
0.183333337,332.2290039
0.216666669,332.6758728
0.25,332.7878418
0.283333331,332.7260742
0.316666663,332.8674316
0.349999994,333.1767273
0.383333325,334.6533813
0.416666657,335.1593628
0.449999988,335.0192566
0.483333319,335.4471741
0.516666651,335.7400208
0.550000012,335.467804
0.583333314,337.1185303
0.616666675,336.2250366
0.649999976,336.5797424
0.683333337,336.2848511
0.716666639,337.2582703
0.75,337.7076721
0.783333361,337.283905
0.816666663,337.6883545
0.850000024,337.8383789
0.883333325,337.8462219
0.916666687,337.941925
0.949999988,337.899292
0.983333349,338.0566101
1.016666651,337.8539429
1.049999952,338.9606018
1.083333373,339.6369934
1.116666675,339.3904419
1.149999976,339.7336121
1.183333278,340.1920471
1.216666698,340.7188721
1.25,341.0924377
1.283333302,340.2251282
1.316666722,340.3904724
1.350000024,340.614563
1.383333325,341.1889954
1.416666627,341.6942749
1.450000048,341.3538208
1.483333349,341.3286133
1.516666651,341.5769043
1.549999952,341.5938721
1.583333373,342.2056885
1.616666675,342.6044617
1.649999976,343.4083252
1.683333278,342.9289551
1.716666698,343.1465454
1.75,343.0570679
1.783333302,343.0797729
1.816666722,344.0198975
1.850000024,344.1256714
1.883333325,344.5909424
1.916666627,344.4233704
1.950000048,345.2271423
1.983333349,344.7272644
2.016666651,344.3921814
2.049999952,344.7032471
2.083333254,344.6349182
2.116666555,345.4584045
2.150000095,345.4762878
2.183333397,345.211853
2.216666698,345.2533875
2.25,344.9899597
2.283333302,345.2401733
2.316666603,345.7353516
2.349999905,346.1562195
2.383333445,347.3686829
2.416666746,347.4451904
2.450000048,347.5171509
2.483333349,346.9136047
2.516666651,347.388916
2.549999952,347.1965332
2.583333254,346.9684143
2.616666555,347.3773804
2.650000095,347.4071045
2.683333397,347.6564636
2.716666698,348.1329651
2.75,348.5585938
2.783333302,347.8064575
2.816666603,348.2659912
2.849999905,348.0701294
2.883333445,349.2621155
2.916666746,348.9056702
2.950000048,348.7366943
2.983333349,349.0689392
3.016666651,349.0059814
3.049999952,349.0971069
3.083333254,348.8598938
3.116666555,348.9375305
3.150000095,349.0185547
3.183333397,348.7593079
3.216666698,349.7425537
3.25,349.481781
3.283333302,349.6680603
3.316666603,349.4034729
3.349999905,349.5824585
3.383333445,349.9697571
3.416666746,349.8440552
3.450000048,350.1200256
3.483333349,350.2398071
3.516666651,350.3253784
3.549999952,350.4646912
3.583333254,351.3983459
3.616666555,350.6322021
3.650000095,351.3109741
3.683333397,351.1912842
3.716666698,351.0939331
3.75,351.3820496
3.783333302,350.8317261
3.816666603,351.2536011
3.849999905,351.8983765
3.883333445,351.4916687
3.916666746,351.5958252
3.950000048,351.5921631
3.983333349,351.9822388
4.016666889,351.5350342
4.050000191,351.7364807
4.083333492,351.7543945
4.116666794,352.2609253
4.150000095,352.6939392
4.183333397,352.5473328
4.216666698,352.7297668
4.25,352.3181458
4.283333302,352.8419189
4.316666603,353.0447998
4.349999905,352.619751
4.383333206,352.604248
4.416666508,353.2531738
4.449999809,352.635498
4.483333111,352.4797974
4.516666889,352.6222534
4.550000191,352.532074
4.583333492,352.8193665
4.616666794,352.8380127
4.650000095,352.7348938
4.683333397,353.2382202
4.716666698,353.3137207
4.75,353.3988037
4.783333302,353.5825806
4.816666603,353.3573608
4.849999905,353.000885
4.883333206,353.3363037
4.916666508,353.3443909
4.949999809,353.4682922
4.983333111,353.0385742
5.675166607,323.0107117
5.708500385,323.2146912
5.741833687,323.131012
5.775166988,323.6276245
5.80850029,323.6999207
5.841833591,324.5684509
5.875166893,324.3585205
5.908500195,324.5369873
5.941833496,324.544281
5.975166798,324.3954773
6.008500099,324.9005432
6.041833401,325.2822876
6.075166702,324.891449
6.108500004,324.8675232
6.141833305,325.5189819
6.175166607,325.0814514
6.208500385,326.0526428
6.241833687,325.620697
6.275166988,325.7160645
6.30850029,325.3882751
6.341833591,325.8876953
6.375166893,326.0352783
6.408500195,325.7306519
6.441833496,325.8907166
6.475166798,326.1856995
6.508500099,326.5527954
6.541833401,326.8430176
6.575166702,326.658905
6.608500004,327.3936157
6.641833305,327.2940369
6.675166607,327.4912109
6.708500385,327.3379517
6.741833687,327.6757813
