Time (min),Intensity (a.u.)
0.016666668,262.5134583
0.050000001,262.7695618
0.083333336,263.5358582
0.116666667,263.0022583
0.150000006,263.9949036
0.183333337,263.2867737
0.216666669,264.04953
0.25,263.7228699
0.283333331,264.2472534
0.316666663,263.4709167
0.349999994,264.2961426
0.383333325,264.2106018
0.416666657,264.3789063
0.449999988,264.9968872
0.483333319,264.5153198
0.516666651,264.1640625
0.550000012,264.3868713
0.583333314,265.5197449
0.616666675,265.6056824
0.649999976,265.2512817
0.683333337,266.0029297
0.716666639,266.0591736
0.75,265.7708435
0.783333361,266.0496521
0.816666663,266.4050903
0.850000024,266.0008545
0.883333325,266.0918579
0.916666687,266.240448
0.949999988,266.5010376
0.983333349,267.1362
1.016666651,268.0113831
1.049999952,267.6367188
1.083333373,267.732605
1.116666675,268.3544922
1.149999976,268.7195435
1.183333278,268.7511597
1.216666698,268.7445984
1.25,268.365509
1.283333302,268.9502869
1.316666722,269.4991455
1.350000024,269.6792908
1.383333325,269.3649597
1.416666627,269.6336365
1.450000048,269.5810852
1.483333349,269.8430786
1.516666651,270.4902649
1.549999952,271.2185059
1.583333373,271.3802795
1.616666675,271.3235168
1.649999976,271.188324
1.683333278,271.5712891
1.716666698,271.8428955
1.75,271.7476501
1.783333302,272.3161316
1.816666722,272.3061523
1.850000024,272.5375061
1.883333325,273.0298157
1.916666627,272.8027649
1.950000048,272.7895813
1.983333349,272.9758606
2.016666651,273.211731
2.049999952,273.5438232
2.083333254,273.3591614
2.116666555,273.4764404
2.150000095,273.7788086
2.183333397,273.7475281
2.216666698,274.2064514
2.25,274.5814514
2.283333302,275.0006104
2.316666603,274.7866821
2.349999905,275.4953308
2.383333445,275.2522888
2.416666746,275.7222595
2.450000048,275.9737854
2.483333349,276.2649841
2.516666651,275.958374
2.549999952,276.5606995
2.583333254,276.5757446
2.616666555,276.9432678
2.650000095,277.0937195
2.683333397,277.0226746
2.716666698,277.3901978
2.75,277.403595
2.783333302,277.6319275
2.816666603,277.8211365
2.849999905,278.0595703
2.883333445,277.9448853
2.916666746,278.2101135
2.950000048,278.3834839
2.983333349,278.3063049
3.016666651,278.4962158
3.049999952,278.86026
3.083333254,278.8165588
3.116666555,279.0434265
3.150000095,279.1393738
3.183333397,279.6340637
3.216666698,279.4481506
3.25,279.7133484
3.283333302,280.1176758
3.316666603,280.0498962
3.349999905,279.8062134
3.383333445,280.4270935
3.416666746,280.2513123
3.450000048,280.8394165
3.483333349,280.5993652
3.516666651,281.0408325
3.549999952,280.8717957
3.583333254,281.4854126
3.616666555,281.2809448
3.650000095,281.5875244
3.683333397,281.7943115
3.716666698,281.6259766
3.75,282.3284607
3.783333302,281.9553528
3.816666603,282.1500244
3.849999905,282.3571777
3.883333445,282.5273743
3.916666746,282.3552856
3.950000048,282.9036865
3.983333349,282.9172668
4.016666889,283.2876282
4.050000191,283.2950439
4.083333492,283.6713867
4.116666794,283.6810303
4.150000095,283.5903015
4.183333397,284.0523376
4.216666698,283.8268433
4.25,283.8067322
4.283333302,283.7519226
4.316666603,283.890564
4.349999905,284.1752625
4.383333206,283.8040466
4.416666508,283.9162598
4.449999809,284.1607971
4.483333111,284.2469482
4.516666889,284.6051331
4.550000191,284.5687256
4.583333492,284.6916809
4.616666794,284.9512634
4.650000095,284.9033813
4.683333397,284.9586792
4.716666698,285.3445129
4.75,284.990448
4.783333302,284.7171021
4.816666603,285.3256226
4.849999905,285.2835083
4.883333206,285.9121704
4.916666508,285.643158
4.949999809,285.9817505
4.983333111,285.8704529
5.547249794,465.2456665
5.580583096,466.1307068
5.613916397,464.7089233
5.647249699,464.715271
5.680583,463.8249512
5.713916302,463.7422485
5.74725008,461.9329529
5.780583382,461.4324036
5.813916683,462.3171692
5.847249985,461.4563599
5.880583286,461.864563
5.913916588,461.3558655
5.947249889,462.371521
5.980583191,461.3609009
6.013916492,461.4191284
6.047249794,462.172699
6.080583096,462.3536987
6.113916397,462.5373535
6.147249699,462.2337036
6.180583,463.2532959
6.213916302,463.4505615
6.24725008,462.9273682
6.280583382,462.8190002
6.313916683,463.0687561
6.347249985,463.3566589
6.380583286,463.2382813
6.413916588,463.4985046
6.447249889,463.6960449
6.480583191,463.9920349
6.513916492,464.4285278
6.547249794,464.8360596
6.580583096,464.9925232
6.613916397,465.0805969
6.647249699,465.6166077
6.680583,465.9179993
6.713916302,466.4651489
6.74725008,467.5939331
6.780583382,467.0252991
6.813916683,468.5265503
6.847249985,467.7597046
6.880583286,468.6762695
6.913916588,468.8557129
6.947249889,469.8655396
6.980583191,469.9672546
7.013916492,470.498291
7.047249794,471.0603638
7.080583096,470.657074
7.113916397,471.4588928
7.147249699,472.6092834
7.180583,472.9609375
7.213916302,473.6661072
7.24725008,473.6304321
7.280583382,474.1174316
7.313916683,475.0894165
7.347249985,474.8670044
7.380583286,474.7295532
7.413916588,474.5502625
7.447249889,475.1630249
7.480583191,476.0992432
7.513916492,475.6734314
7.547249794,476.1834106
7.580583096,476.7008057
7.613916397,477.8475647
7.647249699,478.1956482
7.680583,478.8525391
7.713916302,479.1247864
7.74725008,479.5056152
7.780583382,479.8119202
7.813916683,480.5735168
7.847249985,480.5952759
7.880583286,481.0952148
7.913916588,481.643158
7.947249889,482.0283813
7.980583191,482.0294189
8.013916969,482.468811
8.047249794,483.724884
8.080583572,484.2814636
8.113916397,484.3797913
8.147250175,484.4822083
8.180583,484.6776123
8.213916779,485.5995483
8.247249603,485.897522
8.280583382,486.1087646
8.313916206,486.5953369
8.347249985,486.7841492
8.380582809,487.2814636
8.413916588,487.9090271
8.447249413,488.7619629
8.480583191,488.7949829
8.513916969,488.8911133
8.547249794,489.7396851
8.580582619,490.3291626
8.613916397,490.2333984
8.647249222,491.2172241
8.680583,490.955658
8.713915825,491.93396
8.747249603,491.671875
8.780582428,491.685791
8.813916206,492.5093384
8.847249031,493.1599731
8.880582809,493.3110352
8.913915634,494.2269592
8.947249413,494.6299744
8.980582237,494.0383606
9.013916016,494.7127991
9.047249794,495.2373657
9.080582619,495.3812866
9.113916397,495.4387512
9.147249222,495.2386169
9.180583,495.8934937
9.213915825,496.6491394
9.247249603,496.5717773
9.280582428,497.4593811
9.313916206,497.2257996
9.347249031,497.8233643
9.380582809,497.741272
9.413915634,498.9007874
9.447249413,498.6958618
9.480582237,498.7110291
9.513916016,499.4419861
9.547249794,500.2432556
9.580582619,499.9160767
