Time (min),Intensity (a.u.)
0.016666668,354.0153809
0.050000001,351.8974609
0.083333336,351.1577148
0.116666667,350.4610596
0.150000006,351.5340271
0.183333337,352.2305908
0.216666669,352.5603638
0.25,352.4227295
0.283333331,350.9050293
0.316666663,351.1254883
0.349999994,350.2106018
0.383333325,350.1079407
0.416666657,351.1785583
0.449999988,351.6243286
0.483333319,352.1299744
0.516666651,352.3678894
0.550000012,351.5440674
0.583333314,351.4598083
0.616666675,351.6204529
0.649999976,352.2926941
0.683333337,352.1629639
0.716666639,352.2247925
0.75,352.9873047
0.783333361,353.7930298
0.816666663,355.176178
0.850000024,354.8497009
0.883333325,354.586731
0.916666687,355.5716553
0.949999988,355.9863281
0.983333349,356.7921753
1.016666651,356.7914124
1.049999952,357.0608521
1.083333373,356.8908997
1.116666675,357.9385986
1.149999976,357.6377258
1.183333278,358.2511292
1.216666698,358.0183411
1.25,358.3776245
1.283333302,359.4085083
1.316666722,359.9700317
1.350000024,360.1444702
1.383333325,360.5814514
1.416666627,361.2770386
1.450000048,361.4224243
1.483333349,362.2129211
1.516666651,363.0896912
1.549999952,363.2360229
1.583333373,363.217041
1.616666675,363.5851746
1.649999976,363.5869141
1.683333278,363.7471313
1.716666698,363.9280396
1.75,364.1826172
1.783333302,364.3361816
1.816666722,365.3868103
1.850000024,365.5536194
1.883333325,366.0084534
1.916666627,366.0259705
1.950000048,366.1840515
1.983333349,367.0427551
2.016666651,367.4275208
2.049999952,367.5267639
2.083333254,368.8791809
2.116666555,369.4250488
2.150000095,368.9714661
2.183333397,369.5374451
2.216666698,369.7661743
2.25,369.7395935
2.283333302,370.1122437
2.316666603,370.7542114
2.349999905,371.2330627
2.383333445,370.6596069
2.416666746,370.996582
2.450000048,371.8846436
2.483333349,372.1748962
2.516666651,372.9020386
2.549999952,373.3536682
2.583333254,373.5626831
2.616666555,373.3328247
2.650000095,374.0023499
2.683333397,373.6260071
2.716666698,374.3405762
2.75,374.3948364
2.783333302,374.5756531
2.816666603,375.0769348
2.849999905,375.1332703
2.883333445,375.307312
2.916666746,375.8210754
2.950000048,376.0774536
2.983333349,377.0828857
3.016666651,376.4534302
3.049999952,377.6806946
3.083333254,377.7030945
3.116666555,377.4725342
3.150000095,377.9709778
3.183333397,377.6624756
3.216666698,378.4746704
3.25,378.2654114
3.283333302,378.5087585
3.316666603,379.3200378
3.349999905,379.2712402
3.383333445,380.0746155
3.416666746,379.8285217
3.450000048,380.118988
3.483333349,380.2286072
3.516666651,380.4552002
3.549999952,380.5413818
3.583333254,380.694519
3.616666555,380.7020874
3.650000095,381.8221741
3.683333397,381.9623108
3.716666698,382.5740051
3.75,381.8644409
3.783333302,382.3328552
3.816666603,382.8140564
3.849999905,383.3696899
3.883333445,383.3196411
3.916666746,382.9266052
3.950000048,383.228363
3.983333349,383.2307129
4.016666889,383.198761
4.050000191,383.6451721
4.083333492,383.3419189
4.116666794,383.5459595
4.150000095,383.8240356
4.183333397,383.6689453
4.216666698,384.0991516
4.25,384.7806091
4.283333302,384.9537354
4.316666603,385.0592651
4.349999905,385.1859436
4.383333206,385.7285461
4.416666508,385.751709
4.449999809,385.119873
4.483333111,385.819397
4.516666889,386.075592
4.550000191,386.6702576
4.583333492,386.4000549
4.616666794,386.3595276
4.650000095,386.6690369
4.683333397,387.3243713
4.716666698,387.3727417
4.75,387.7944031
4.783333302,387.6781616
4.816666603,387.2210999
4.849999905,387.5906982
4.883333206,387.5635071
4.916666508,388.1905823
4.949999809,388.0993652
5.625500202,420.9655762
5.658833504,418.591156
5.692166805,417.7643738
5.725500107,416.6063843
5.758833408,416.4904175
5.79216671,415.881134
5.825500011,415.8522339
5.858833313,415.1827393
5.892166615,415.2552185
5.925499916,414.8254395
5.958833218,413.9108887
5.992166519,413.9797058
6.025499821,414.3029785
6.058833122,414.1698303
6.092166424,413.8106689
6.125500202,414.8237
6.158833504,415.1170044
6.192166805,413.9421082
6.225500107,414.175293
6.258833408,414.5349121
6.29216671,414.9195251
6.325500011,414.7527161
6.358833313,415.7398682
6.392166615,414.7939758
6.425499916,416.0507202
6.458833218,415.442688
6.492166519,416.369812
6.525499821,416.9736633
6.558833122,416.4642639
6.592166424,415.9557495
6.625500202,416.6730652
6.658833504,417.2437744
6.692166805,417.407074
6.725500107,417.1803284
6.758833408,417.5912476
6.79216671,418.1453857
6.825500011,418.661377
6.858833313,418.5796509
6.892166615,418.8268127
6.925499916,419.2358398
6.958833218,419.3638
6.992166519,419.8470459
7.025499821,420.3930054
7.058833122,419.7272034
7.092166424,420.4442749
7.125500202,420.8386841
7.158833504,421.5745239
7.192166805,421.8615723
7.225500107,422.701416
7.258833408,422.6873779
