Time (min),Intensity (a.u.)
0.016666668,365.2972107
0.050000001,363.930542
0.083333336,365.5441284
0.116666667,365.584137
0.150000006,364.8965149
0.183333337,366.621582
0.216666669,366.6225586
0.25,365.678009
0.283333331,366.6386414
0.316666663,366.4609375
0.349999994,366.6471558
0.383333325,366.660553
0.416666657,367.1918335
0.449999988,367.9472351
0.483333319,367.2817688
0.516666651,368.1436768
0.550000012,366.8656616
0.583333314,367.8761902
0.616666675,367.0061035
0.649999976,367.6558838
0.683333337,367.0698853
0.716666639,366.8564453
0.75,366.6574707
0.783333361,367.1709595
0.816666663,368.1749878
0.850000024,368.2018127
0.883333325,368.2463684
0.916666687,368.5484009
0.949999988,368.9020081
0.983333349,369.0925293
1.016666651,368.752533
1.049999952,368.8778076
1.083333373,369.2049561
1.116666675,369.1365967
1.149999976,369.1505127
1.183333278,369.7599182
1.216666698,369.5752869
1.25,369.3488464
1.283333302,369.6525879
1.316666722,370.6938477
1.350000024,370.8876953
1.383333325,370.9115295
1.416666627,371.4252319
1.450000048,371.6106567
1.483333349,371.565155
1.516666651,371.5768433
1.549999952,371.5710449
1.583333373,371.9806213
1.616666675,372.3788147
1.649999976,372.2406311
1.683333278,372.3321838
1.716666698,372.4078369
1.75,372.1754456
1.783333302,372.2874451
1.816666722,372.9027405
1.850000024,372.3536072
1.883333325,372.315094
1.916666627,372.9588318
1.950000048,373.1398926
1.983333349,373.4537048
2.016666651,374.3379822
2.049999952,374.3145142
2.083333254,374.3917236
2.116666555,374.7363281
2.150000095,375.2005615
2.183333397,375.5539551
2.216666698,374.8411865
2.25,374.5137329
2.283333302,375.5137939
2.316666603,374.9419861
2.349999905,375.371582
2.383333445,375.6482239
2.416666746,375.9012146
2.450000048,375.8880615
2.483333349,376.6150818
2.516666651,376.9813232
2.549999952,377.2189331
2.583333254,376.7538452
2.616666555,376.7495422
2.650000095,377.374054
2.683333397,376.9994812
2.716666698,377.0341797
2.75,377.3287354
2.783333302,377.5604553
2.816666603,378.109436
2.849999905,377.740448
2.883333445,377.9950256
2.916666746,377.9760132
2.950000048,378.4467163
2.983333349,378.4798584
3.016666651,379.0161743
3.049999952,379.0349731
3.083333254,379.3103027
3.116666555,379.365448
3.150000095,379.4977112
3.183333397,379.6290588
3.216666698,380.0866089
3.25,380.4237061
3.283333302,380.0892944
3.316666603,380.4129944
3.349999905,379.7204895
3.383333445,380.2256775
3.416666746,380.7539063
3.450000048,380.5702209
3.483333349,381.3766785
3.516666651,380.5765686
3.549999952,380.7322083
3.583333254,380.3655701
3.616666555,381.0624084
3.650000095,380.9990234
3.683333397,381.6115417
3.716666698,380.9121399
3.75,381.3482056
3.783333302,382.5110168
3.816666603,382.0631409
