Time (min),Intensity (a.u.)
0.016666668,377.2139282
0.050000001,378.1011658
0.083333336,377.4895935
0.116666667,378.6556091
0.150000006,379.1079102
0.183333337,378.3514099
0.216666669,378.9334412
0.25,379.291748
0.283333331,380.6542664
0.316666663,380.145752
0.349999994,381.9964294
0.383333325,382.3791504
0.416666657,382.1274719
0.449999988,382.2167053
0.483333319,382.6515808
0.516666651,383.142395
0.550000012,383.2512207
0.583333314,384.4781189
0.616666675,383.9246216
0.649999976,385.0655823
0.683333337,385.3174744
0.716666639,384.6835938
0.75,385.3391113
0.783333361,386.388855
0.816666663,386.589386
0.850000024,386.3713074
0.883333325,387.1813354
0.916666687,387.5305481
0.949999988,389.1280823
0.983333349,389.6157227
1.016666651,390.585907
1.049999952,389.7003174
1.083333373,391.1183472
1.116666675,391.1960449
1.149999976,392.3659058
1.183333278,392.4499207
1.216666698,392.1780396
1.25,392.4185486
1.283333302,392.3829956
1.316666722,393.9647522
1.350000024,394.0179749
1.383333325,393.5754395
1.416666627,394.1240234
1.450000048,394.793335
1.483333349,394.5482788
1.516666651,395.9742737
1.549999952,396.9771423
1.583333373,397.888092
1.616666675,397.4447632
1.649999976,396.7893982
1.683333278,398.1066589
1.716666698,397.7867432
1.75,398.54422
1.783333302,399.1886902
1.816666722,400.0091553
1.850000024,400.0037231
1.883333325,399.855835
1.916666627,400.2470093
1.950000048,400.3032227
1.983333349,401.1577454
2.016666651,401.0436096
2.049999952,401.7113953
2.083333254,401.4323425
2.116666555,401.9367676
2.150000095,402.2254944
2.183333397,402.8069153
2.216666698,403.8760376
2.25,404.0314026
2.283333302,403.9189758
2.316666603,404.0243835
2.349999905,404.8869934
2.383333445,405.2786255
2.416666746,405.0990601
2.450000048,405.8479309
2.483333349,406.1037292
2.516666651,406.7099609
2.549999952,406.8036804
2.583333254,406.80896
2.616666555,408.0075989
2.650000095,407.7134705
2.683333397,408.4948425
2.716666698,408.9065857
2.75,408.949707
2.783333302,409.6672974
2.816666603,410.0921631
2.849999905,409.547699
2.883333445,410.083374
2.916666746,410.3256531
2.950000048,410.1095886
2.983333349,410.7153015
3.016666651,410.9678955
3.049999952,411.1366272
3.083333254,411.4857483
3.116666555,411.4289551
3.150000095,411.564209
3.183333397,411.8633423
3.216666698,412.6574707
3.25,412.5220642
3.283333302,412.9691772
3.316666603,413.7718506
3.349999905,413.954895
3.383333445,414.0595093
3.416666746,414.9379883
3.450000048,415.1213074
3.483333349,415.802002
3.516666651,415.5800476
3.549999952,415.7971497
3.583333254,415.9898682
3.616666555,416.178833
3.650000095,416.3729858
3.683333397,416.3788452
3.716666698,416.7312012
3.75,416.6965637
3.783333302,417.1461487
3.816666603,417.8778381
3.849999905,417.374054
3.883333445,418.375
3.916666746,418.341156
3.950000048,418.7548828
3.983333349,418.7453918
4.016666889,419.2151489
4.050000191,419.2740173
4.083333492,419.1268921
4.116666794,420.7014465
4.150000095,420.0952148
4.183333397,420.3977966
4.216666698,420.6737061
4.25,420.3370361
4.283333302,420.54245
4.316666603,420.8900146
4.349999905,420.7667236
4.383333206,421.0167236
4.416666508,421.2128906
4.449999809,421.5599365
4.483333111,421.4293823
4.516666889,421.7273254
4.550000191,422.0209656
4.583333492,422.1110535
4.616666794,422.9252319
4.650000095,422.9263611
4.683333397,423.1634827
4.716666698,423.0064392
4.75,423.1251526
4.783333302,423.2535095
4.816666603,423.7192383
4.849999905,423.7124939
4.883333206,424.2872009
4.916666508,424.8644104
4.949999809,425.1552124
4.983333111,425.1868896
5.711062431,500.68396
5.744395733,500.2046204
5.777729511,499.1138306
5.811062813,499.1828613
5.844396114,499.3292542
5.877729416,498.4898071
5.911062717,497.9598694
