Time (min),Intensity (a.u.)
0.016666668,423.7939453
0.050000001,422.6335754
0.083333336,422.7065735
0.116666667,421.6956482
0.150000006,421.9187927
0.183333337,422.020752
0.216666669,421.210907
0.25,424.6002808
0.283333331,423.5618896
0.316666663,423.3866577
0.349999994,423.410675
0.383333325,422.4396362
0.416666657,422.6807861
0.449999988,422.4196472
0.483333319,425.3389282
0.516666651,424.0200195
0.550000012,424.2472534
0.583333314,424.7954712
0.616666675,424.7290649
0.649999976,424.2850952
0.683333337,424.5974731
0.716666639,424.7928467
0.75,425.0419312
0.783333361,425.6529846
0.816666663,424.3543091
0.850000024,424.4543457
0.883333325,425.7329102
0.916666687,425.5354309
0.949999988,425.8403931
0.983333349,426.6393738
1.016666651,426.4776001
1.049999952,427.0387878
1.083333373,426.0844727
1.116666675,426.0016785
1.149999976,427.0926514
1.183333278,427.0970459
1.216666698,427.026123
1.25,426.7207031
1.283333302,427.0352478
1.316666722,427.4642639
1.350000024,427.144043
1.383333325,427.4558716
1.416666627,428.0801697
1.450000048,428.7786255
1.483333349,428.4634094
1.516666651,428.5550537
1.549999952,429.0854797
1.583333373,428.9464417
1.616666675,429.3467407
1.649999976,429.1826782
1.683333278,429.1147766
1.716666698,429.2787476
1.75,429.7697754
1.783333302,429.8495483
1.816666722,429.7706909
1.850000024,429.202179
1.883333325,429.841217
1.916666627,429.7535706
1.950000048,429.8562317
1.983333349,429.5295715
2.016666651,429.9372864
2.049999952,430.1593628
2.083333254,429.635498
2.116666555,430.750885
2.150000095,430.5923157
2.183333397,431.1079712
2.216666698,431.1446228
2.25,431.3060303
2.283333302,430.7955627
2.316666603,431.2944946
2.349999905,431.4430542
2.383333445,431.4960632
2.416666746,431.4003601
2.450000048,431.7995605
2.483333349,432.3427734
2.516666651,432.0971069
2.549999952,431.9349365
2.583333254,432.1867676
2.616666555,432.6609802
2.650000095,433.4177856
2.683333397,433.0003052
2.716666698,432.8933105
2.75,433.3484192
2.783333302,432.9281921
2.816666603,432.7507324
2.849999905,433.1228638
2.883333445,432.8821411
2.916666746,433.2110596
2.950000048,433.2541504
2.983333349,433.193573
3.016666651,433.3483276
3.049999952,433.2845764
3.083333254,433.3791199
3.116666555,434.0370483
3.150000095,433.4518738
3.183333397,433.6509705
3.216666698,434.519989
3.25,434.0763855
3.283333302,434.5625916
3.316666603,434.7373962
3.349999905,434.7053528
3.383333445,434.6568604
3.416666746,434.9238586
3.450000048,435.2968445
3.483333349,435.2748413
3.516666651,435.7010803
3.549999952,435.7867126
3.583333254,434.9647827
3.616666555,435.6650085
3.650000095,435.9492188
3.683333397,436.2207947
3.716666698,436.2118225
3.75,436.3250427
3.783333302,435.6030579
3.816666603,435.5410461
3.849999905,435.7891541
3.883333445,436.0890808
3.916666746,435.7539368
3.950000048,435.9652405
3.983333349,435.9942017
4.016666889,435.8021545
4.050000191,436.7644043
4.083333492,436.9906311
4.116666794,437.7629089
4.150000095,437.140686
4.183333397,437.1233826
4.216666698,437.3257141
4.25,437.3474731
4.283333302,437.1858826
4.316666603,437.6847229
4.349999905,437.1905212
4.383333206,437.5215759
4.416666508,437.552002
4.449999809,437.1228333
4.483333111,436.9200134
4.516666889,437.4765625
4.550000191,437.5525208
4.583333492,437.4876709
4.616666794,437.5919189
4.650000095,437.6826477
4.683333397,437.1869202
4.716666698,437.8080444
4.75,438.1183777
4.783333302,438.0050659
4.816666603,438.7441406
4.849999905,438.8292236
4.883333206,438.0715027
4.916666508,438.241272
4.949999809,438.2418823
4.983333111,437.8067627
5.569916725,594.6385498
5.603250027,594.7094727
5.636583328,595.1704102
5.66991663,594.9063721
5.703249931,595.1832275
5.736583233,595.9035645
5.769917011,595.7965088
5.803250313,597.1271973
5.836583614,596.9690552
5.869916916,597.8273926
5.903250217,598.4283447
5.936583519,598.6192627
5.969916821,598.6148682
6.003250122,599.329895
6.036583424,600.2422485
6.069916725,600.7940063
6.103250027,602.8618774
6.136583328,603.1956177
6.16991663,602.6851807
6.203249931,604.9366455
6.236583233,604.1889038
6.269917011,604.9725952
6.303250313,605.4360352
6.336583614,606.5754395
6.369916916,607.4707642
6.403250217,607.9285889
6.436583519,609.7546387
6.469916821,609.4046021
6.503250122,610.4727173
6.536583424,611.5778809
