Time (min),Intensity (a.u.)
0.016666668,424.1568604
0.050000001,423.6022644
0.083333336,423.0379944
0.116666667,422.8966675
0.150000006,425.4716187
0.183333337,424.5366211
0.216666669,424.8579712
0.25,424.6460266
0.283333331,423.9031982
0.316666663,423.7844543
0.349999994,422.9779053
0.383333325,424.9373169
0.416666657,424.9173279
0.449999988,425.7975769
0.483333319,425.5261536
0.516666651,425.6535645
0.550000012,425.5202332
0.583333314,425.7538452
0.616666675,424.6143494
0.649999976,425.5465088
0.683333337,424.5497437
0.716666639,424.5830383
0.75,426.2714539
0.783333361,426.0290833
0.816666663,426.5152283
0.850000024,426.9898987
0.883333325,427.8855896
0.916666687,427.1997681
0.949999988,426.6255798
0.983333349,426.3668213
1.016666651,426.8036804
1.049999952,427.4865417
1.083333373,426.8453979
1.116666675,427.0431213
1.149999976,426.8602905
1.183333278,427.4432068
1.216666698,426.6470337
1.25,427.2884521
1.283333302,427.5324707
1.316666722,428.8655701
1.350000024,428.5246277
1.383333325,429.3904419
1.416666627,428.4376831
1.450000048,428.9347839
1.483333349,429.0702209
1.516666651,428.6418152
1.549999952,429.0345459
1.583333373,429.9197998
1.616666675,429.1239624
1.649999976,429.3459473
1.683333278,429.9231873
1.716666698,429.7270813
1.75,429.8755188
1.783333302,429.4519348
1.816666722,429.4676819
1.850000024,429.7184448
1.883333325,429.7104187
1.916666627,430.3417664
1.950000048,429.9173279
1.983333349,429.9465637
2.016666651,430.6253052
2.049999952,431.0439148
2.083333254,430.5914612
2.116666555,431.2779541
2.150000095,431.6123047
2.183333397,431.5713196
2.216666698,430.8692322
2.25,430.9178772
2.283333302,431.7672729
2.316666603,431.7978821
2.349999905,431.1683044
2.383333445,430.9275208
2.416666746,431.156311
2.450000048,432.1696472
2.483333349,432.2102661
2.516666651,432.1945801
2.549999952,431.8526001
2.583333254,431.9046021
2.616666555,432.3887634
2.650000095,432.8960876
2.683333397,431.9874878
2.716666698,432.4506531
2.75,432.1276245
2.783333302,432.7177124
2.816666603,432.5326538
2.849999905,432.7683716
2.883333445,432.8874207
2.916666746,432.508606
2.950000048,433.3816833
2.983333349,433.0340881
3.016666651,433.1365662
3.049999952,434.0348511
3.083333254,433.9631958
3.116666555,433.6599426
3.150000095,434.033844
3.183333397,433.8933716
3.216666698,433.7703552
3.25,433.7478943
3.283333302,434.5397339
3.316666603,434.0353699
3.349999905,434.4376221
3.383333445,434.0835266
3.416666746,434.5585327
3.450000048,434.5070801
3.483333349,433.8222351
3.516666651,434.276062
3.549999952,433.921936
3.583333254,434.4231873
3.616666555,434.8112793
3.650000095,434.288269
3.683333397,434.3220825
3.716666698,435.4589233
3.75,434.9766541
3.783333302,435.3240051
3.816666603,435.1453247
3.849999905,435.6374512
3.883333445,435.540741
3.916666746,436.0923157
3.950000048,435.6224365
3.983333349,435.8451233
4.016666889,435.3648071
4.050000191,435.4105835
4.083333492,436.1565857
4.116666794,435.0436707
4.150000095,435.5409851
4.183333397,435.7384949
4.216666698,435.4276428
4.25,435.4413147
4.283333302,435.7443848
4.316666603,435.8473816
4.349999905,436.1027527
4.383333206,436.2182312
4.416666508,435.927948
4.449999809,436.3922729
4.483333111,436.1017456
4.516666889,436.7908325
4.550000191,436.9307861
4.583333492,435.8955688
4.616666794,434.8796997
4.650000095,435.6251831
4.683333397,435.6976624
4.716666698,436.467865
4.75,436.0331421
4.783333302,436.588501
4.816666603,437.0409241
4.849999905,436.4848633
4.883333206,436.9147644
4.916666508,436.6745911
4.949999809,436.6529846
4.983333111,437.4622192
5.839146137,449.6743774
5.872479439,447.9768982
5.90581274,447.4079895
5.939146042,447.1817627
5.972479343,447.2536621
6.005812645,447.2949219
6.039145947,446.7041626
6.072479248,447.1296082
6.10581255,446.5255127
6.139145851,446.5444031
6.172479153,445.8800049
6.205812454,446.7444458
6.239145756,446.2163086
6.272479057,446.7209778
6.305812359,447.3803101
6.339146137,447.3796997
6.372479439,448.2913208
6.40581274,447.0488281
6.439146042,447.8269043
6.472479343,447.0053101
6.505812645,447.8536377
6.539145947,447.7585449
6.572479248,447.6628723
6.60581255,448.3189392
6.639145851,448.524231
6.672479153,448.9010315
6.705812454,448.9206543
6.739145756,449.8813782
6.772479057,450.460022
6.805812359,450.1107178
6.839146137,450.4844971
6.872479439,451.0198364
6.90581274,451.0638733
6.939146042,450.9725342
6.972479343,451.0902405
7.005812645,451.5309448
7.039145947,452.6046143
7.072479248,453.4472961
7.10581255,453.0921326
7.139145851,453.9369507
7.172479153,454.1555786
7.205812454,454.9950562
7.239145756,454.8455811
7.272479057,455.3758545
7.305812359,455.918457
7.339146137,456.2120972
7.372479439,457.306488
7.40581274,458.2002563
7.439146042,458.7062073
7.472479343,458.7098389
7.505812645,459.8331299
7.539145947,460.5836487
7.572479248,460.183136
7.60581255,461.663208
7.639145851,461.736145
7.672479153,461.8988953
7.705812454,462.9221497
7.739145756,463.2975464
7.772479057,464.4540405
7.805812359,464.553009
7.839146137,465.493103
7.872479439,465.342926
7.90581274,465.8337402
7.939146042,466.8872986
7.972479343,467.1246948
8.005812645,468.2541199
8.03914547,468.532196
8.072479248,468.2371216
