Time (min),Intensity (a.u.)
0.016666668,430.8590698
0.050000001,432.8356934
0.083333336,429.2154236
0.116666667,428.8105774
0.150000006,428.0573425
0.183333337,426.1651001
0.216666669,424.3392639
0.25,426.2549438
0.283333331,428.5154724
0.316666663,427.3052979
0.349999994,426.7904968
0.383333325,424.2216797
0.416666657,424.0000916
0.449999988,421.783783
0.483333319,421.4629822
0.516666651,422.3670044
0.550000012,424.033905
0.583333314,422.9082336
0.616666675,423.9651489
0.649999976,422.7841187
0.683333337,422.151123
0.716666639,421.7835693
0.75,421.8411255
0.783333361,420.7282104
0.816666663,420.576355
0.850000024,420.2398682
0.883333325,422.9442444
0.916666687,422.6551514
0.949999988,424.0106812
0.983333349,423.0749207
1.016666651,423.4929504
1.049999952,422.5931091
1.083333373,422.7679443
1.116666675,421.8879395
1.149999976,421.8042908
1.183333278,421.5729065
1.216666698,421.8420105
1.25,422.2007446
1.283333302,423.723175
1.316666722,422.8844299
1.350000024,423.1521606
1.383333325,423.7715454
1.416666627,423.9769287
1.450000048,423.2738342
1.483333349,423.496521
1.516666651,423.7655334
1.549999952,424.0097351
1.583333373,423.7741394
1.616666675,423.3525085
1.649999976,423.9932861
1.683333278,424.4378662
1.716666698,424.8987732
1.75,425.8798218
1.783333302,426.6297607
1.816666722,427.3279724
1.850000024,426.5883484
1.883333325,426.8658142
1.916666627,427.8425598
1.950000048,428.0081177
1.983333349,428.079071
2.016666651,428.1238403
2.049999952,427.9396973
2.083333254,428.0718079
2.116666555,428.3600769
2.150000095,428.2079773
2.183333397,428.8078003
2.216666698,429.4068909
2.25,429.3254089
2.283333302,428.6794739
2.316666603,429.6685791
2.349999905,429.7430725
2.383333445,429.4873047
2.416666746,430.6607056
2.450000048,432.2062073
2.483333349,432.2730713
2.516666651,431.8466187
2.549999952,431.8865967
2.583333254,432.0787354
2.616666555,433.2657776
2.650000095,433.0119019
2.683333397,433.7698059
2.716666698,433.7217102
2.75,434.141571
2.783333302,434.5336914
2.816666603,434.0532532
2.849999905,434.0609131
2.883333445,434.117157
2.916666746,434.4953613
2.950000048,434.5377808
2.983333349,435.1655273
3.016666651,435.2807922
3.049999952,435.7732849
3.083333254,435.6854248
3.116666555,435.9732056
3.150000095,435.6420898
3.183333397,435.7293701
3.216666698,436.3101807
3.25,436.4399109
