Time (min),Intensity (a.u.)
0.016666668,269.8309021
0.050000001,269.4546509
0.083333336,270.3612366
0.116666667,271.1774292
0.150000006,271.710968
0.183333337,271.2766724
0.216666669,271.3652039
0.25,272.3566589
0.283333331,272.6380615
0.316666663,272.4339294
0.349999994,272.977356
0.383333325,274.1440125
0.416666657,274.1716003
0.449999988,274.8997498
0.483333319,274.9736023
0.516666651,275.2846375
0.550000012,275.5145569
0.583333314,276.3572083
0.616666675,276.4156799
0.649999976,276.5972595
0.683333337,277.0813293
0.716666639,277.4821472
0.75,277.6445313
0.783333361,278.7013855
0.816666663,279.1228333
0.850000024,279.4217224
0.883333325,279.8040161
0.916666687,280.3350525
0.949999988,280.2352295
0.983333349,280.898407
1.016666651,281.5166016
1.049999952,281.4656067
1.083333373,281.342041
1.116666675,281.8247681
1.149999976,282.3982544
1.183333278,282.109375
1.216666698,283.0286255
1.25,283.3797913
1.283333302,283.5633545
1.316666722,284.7419739
1.350000024,283.5915222
1.383333325,284.1856384
1.416666627,285.032074
1.450000048,284.9552307
1.483333349,284.9607849
1.516666651,285.8078003
1.549999952,286.1182861
1.583333373,285.7413025
1.616666675,286.4265137
1.649999976,286.3968201
1.683333278,286.9298706
1.716666698,286.8935242
1.75,286.7938538
1.783333302,287.1917419
1.816666722,287.1729736
1.850000024,287.6935425
1.883333325,288.2173157
1.916666627,288.8533325
1.950000048,289.1009216
1.983333349,289.2293701
2.016666651,289.3628845
2.049999952,290.1437988
2.083333254,290.3734741
2.116666555,289.7279663
2.150000095,290.4915161
2.183333397,290.7191467
2.216666698,291.1306152
2.25,290.9293823
2.283333302,291.1117859
2.316666603,291.7166138
2.349999905,292.1431885
2.383333445,292.0953979
2.416666746,292.06604
2.450000048,291.7379761
2.483333349,292.5639343
2.516666651,292.3644409
2.549999952,292.401886
2.583333254,292.2375488
2.616666555,292.4240112
2.650000095,292.5310669
2.683333397,292.5498962
2.716666698,292.3269043
2.75,291.7974243
2.783333302,292.6990356
2.816666603,292.6855774
2.849999905,293.042511
2.883333445,293.7861023
2.916666746,293.8999329
2.950000048,293.4118347
2.983333349,294.2489014
3.016666651,293.9474487
3.049999952,294.14151
3.083333254,294.715271
3.116666555,294.3509521
3.150000095,295.3136597
3.183333397,294.6105347
3.216666698,295.220459
3.25,294.5234375
3.283333302,295.2666321
3.316666603,295.495575
3.349999905,294.8812866
3.383333445,295.5275879
3.416666746,295.2769775
3.450000048,295.4698181
3.483333349,295.9464722
3.516666651,295.9689026
3.549999952,295.914032
3.583333254,296.0334473
3.616666555,296.1097107
3.650000095,296.3100281
3.683333397,296.6222534
3.716666698,296.2691956
3.75,296.4667664
3.783333302,296.7827759
3.816666603,296.6477051
3.849999905,296.5143433
3.883333445,296.5362244
3.916666746,296.9454346
3.950000048,296.7485962
3.983333349,297.0509033
4.016666889,297.0162964
4.050000191,296.9385681
4.083333492,298.2049561
4.116666794,297.3675842
4.150000095,297.4581604
4.183333397,297.3348389
4.216666698,297.8696289
4.25,297.8052979
4.283333302,298.2486877
4.316666603,298.039093
4.349999905,298.2043457
4.383333206,298.1754456
4.416666508,298.4559937
4.449999809,298.5775146
4.483333111,298.1569519
4.516666889,298.1331787
4.550000191,298.3475342
4.583333492,299.0984497
4.616666794,299.0575562
4.650000095,298.6829224
4.683333397,299.221283
4.716666698,299.9850159
4.75,299.4799194
4.783333302,299.9306946
4.816666603,300.102478
4.849999905,299.9443054
4.883333206,299.5093079
4.916666508,299.5368347
4.949999809,300.3211975
4.983333111,299.5771484
5.611666679,507.784729
5.644999981,509.1722107
5.678333759,507.6195068
5.711667061,503.0039673
5.745000362,501.5480042
5.778333664,500.3531494
5.811666965,500.1489563
5.845000267,499.1582642
5.878333569,498.3843384
5.91166687,499.3393555
5.945000172,499.4482727
5.978333473,498.713501
6.011666775,498.4497375
6.045000076,497.1585388
6.078333378,497.9592285
6.111666679,497.6152039
6.144999981,497.5215759
6.178333759,497.2739868
6.211667061,498.0314026
6.245000362,498.111908
6.278333664,498.5039978
6.311666965,498.9931335
