Time (min),Intensity (a.u.)
0.016666668,388.9888916
0.050000001,389.2501831
0.083333336,388.8486328
0.116666667,388.7951355
0.150000006,389.3669128
0.183333337,390.4222717
0.216666669,391.3442383
0.25,393.3839722
0.283333331,392.4971008
0.316666663,390.9995422
0.349999994,391.7119751
0.383333325,391.7010803
0.416666657,391.6885986
0.449999988,392.3722839
0.483333319,394.4320374
0.516666651,394.6986389
0.550000012,395.4822388
0.583333314,395.7150879
0.616666675,395.1341553
0.649999976,395.4022827
0.683333337,396.0485229
0.716666639,396.0377197
0.75,395.8421936
0.783333361,395.865387
0.816666663,397.1959839
0.850000024,398.9781494
0.883333325,399.8465881
0.916666687,399.4674683
0.949999988,399.4414368
0.983333349,400.6175842
1.016666651,401.1347351
1.049999952,401.8780212
1.083333373,400.9916992
1.116666675,401.2210999
1.149999976,401.8245239
1.183333278,401.5378113
1.216666698,402.3917236
1.25,403.3380432
1.283333302,403.6888428
1.316666722,402.7330933
1.350000024,404.1670837
1.383333325,405.0263062
1.416666627,404.2220459
1.450000048,405.0195007
1.483333349,404.8170166
1.516666651,405.9127197
1.549999952,406.2193909
1.583333373,406.5991516
1.616666675,406.4270935
1.649999976,406.4680176
1.683333278,406.7428284
1.716666698,407.2217407
1.75,409.423584
1.783333302,408.2983093
1.816666722,408.9295959
1.850000024,409.8977356
1.883333325,409.6996155
1.916666627,410.0509949
1.950000048,411.2927246
1.983333349,413.0473022
2.016666651,412.2407227
2.049999952,411.6730347
2.083333254,411.8735352
2.116666555,411.285553
2.150000095,412.7097778
2.183333397,412.4415894
2.216666698,413.158905
2.25,413.5562134
2.283333302,413.6350098
2.316666603,413.2625122
2.349999905,413.8153076
2.383333445,414.1329956
2.416666746,414.5254517
2.450000048,415.1940002
2.483333349,415.5952759
2.516666651,416.5158997
2.549999952,416.5990906
2.583333254,417.5686646
2.616666555,417.0605774
2.650000095,417.4239502
2.683333397,417.9247742
2.716666698,418.3469543
2.75,418.8636169
2.783333302,418.8053589
2.816666603,419.3889771
2.849999905,419.3987732
2.883333445,419.4169312
2.916666746,419.1642456
2.950000048,419.8799133
2.983333349,419.9158325
3.016666651,420.2037354
3.049999952,420.2639465
3.083333254,421.0906982
3.116666555,421.3349609
3.150000095,421.3313904
3.183333397,420.9951172
3.216666698,421.5259705
3.25,421.6305542
3.283333302,422.0643005
3.316666603,422.6986694
3.349999905,422.846405
3.383333445,423.1558228
3.416666746,423.8158569
3.450000048,424.7524414
3.483333349,424.3483887
3.516666651,424.881958
3.549999952,424.7480469
3.583333254,424.8705444
3.616666555,424.565979
3.650000095,425.7325134
3.683333397,425.9223633
3.716666698,425.9551697
3.75,426.2181702
3.783333302,426.4567566
3.816666603,426.9233704
3.849999905,427.1676331
3.883333445,427.272522
3.916666746,427.516449
3.950000048,427.6407776
3.983333349,428.5307922
4.016666889,427.9434509
4.050000191,428.2539063
4.083333492,428.5975342
4.116666794,428.5379639
4.150000095,428.79422
4.183333397,428.7345886
4.216666698,429.2734375
4.25,429.8367004
4.283333302,429.4744873
4.316666603,430.1387634
4.349999905,428.9775391
4.383333206,429.7921143
4.416666508,429.8352966
4.449999809,430.3989868
4.483333111,430.4596558
4.516666889,430.9286194
4.550000191,430.9680176
4.583333492,431.5783081
4.616666794,431.3770142
4.650000095,431.6941223
4.683333397,430.9032898
4.716666698,431.6361084
4.75,431.3130493
4.783333302,431.4552307
4.816666603,432.9083557
4.849999905,432.3770752
4.883333206,433.1633911
4.916666508,433.2553101
4.949999809,433.229126
4.983333111,432.9414063
5.629229069,586.8338623
5.66256237,585.923645
5.695895672,586.1464844
5.72922945,585.8961792
5.762562752,585.5787354
5.795896053,585.6369019
5.829229355,585.7018433
5.862562656,586.0413818
5.895895958,586.4837646
5.929229259,587.2453613
5.962562561,587.0628662
5.995895863,586.5379028
6.029229164,587.1098022
6.062562466,587.6185303
6.095895767,588.0464478
6.129229069,588.4995117
6.16256237,588.3632813
6.195895672,589.2189331
6.22922945,590.979187
6.262562752,590.7669067
6.295896053,590.5233154
6.329229355,592.0102539
6.362562656,591.2261353
6.395895958,592.8134766
6.429229259,593.5877686
6.462562561,594.751709
6.495895863,595.3684692
6.529229164,595.9749146
6.562562466,597.1670532
6.595895767,597.7144775
6.629229069,597.8569336
6.66256237,599.7313843
6.695895672,599.598999
6.72922945,600.5155029
6.762562752,603.0432129
6.795896053,603.9228516
6.829229355,606.3753662
6.862562656,607.1647339
6.895895958,608.2368164
6.929229259,608.8356323
6.962562561,610.2658691
6.995895863,611.2091064
7.029229164,614.1040649
7.062562466,615.3435669
7.095895767,616.1170044
7.129229069,617.7885132
7.16256237,618.1580811
7.195895672,620.2481689
7.22922945,621.3245239
7.262562752,621.654541
7.295896053,623.2539673
7.329229355,626.046814
7.362562656,625.2807007
7.395895958,626.7264404
7.429229259,628.4886475
7.462562561,629.7338867
7.495895863,630.2062378
7.529229164,632.5889893
7.562562466,634.4912109
7.595895767,634.8190308
7.629229069,636.6259155
7.66256237,637.390625
7.695895672,638.9504395
7.72922945,640.5708008
7.762562752,641.4191895
7.795896053,643.0414429
7.829229355,643.7102661
7.862562656,645.0681152
7.895895958,646.1054688
7.929229259,646.8844604
7.962562561,648.2818604
7.995895863,649.6203003
8.029229164,651.0072632
8.062562943,651.5708618
8.095895767,652.6798096
8.129229546,654.1828613
8.16256237,655.6445923
8.195896149,657.0560303
8.229228973,657.7098389
8.262562752,660.0982056
8.295895576,660.8504028
8.329229355,661.9485474
8.36256218,662.3417358
8.395895958,664.1630249
8.429228783,666.2645874
8.462562561,666.4157715
8.495896339,667.3876953
8.529229164,669.0084839
8.562562943,669.3927002
8.595896721,670.3406982
8.629229546,671.2860107
8.662563324,672.3835449
8.695896149,674.7937012
8.729229927,676.1538086
8.762562752,676.454895
8.79589653,678.0179443
8.829229355,679.1647949
8.862563133,679.4523926
8.895895958,682.0685425
8.929229736,682.5994873
8.962563515,684.1759033
8.995896339,684.9155884
9.029230118,685.3639526
9.062562943,687.0896606
9.095896721,687.7235718
9.129229546,689.2623291
9.162563324,690.0552368
9.195896149,690.7113647
9.229229927,691.7893677
9.262562752,693.2131958
9.29589653,693.8289185
9.329229355,696.5853271
9.362563133,697.4263916
9.395895958,698.3759155
9.429229736,699.3631592
9.462563515,700.1854248
9.495896339,700.7883911
9.529230118,702.1224976
9.562562943,703.3945923
9.595896721,704.0708618
9.629229546,704.4080811
9.662563324,705.4891357
9.695896149,706.5623169
9.729229927,707.3667603
9.762562752,708.484375
9.79589653,709.5597534
9.829229355,709.9088745
9.862563133,710.9903564
9.895895958,711.2388306
9.929229736,712.3334961
9.962563515,713.4074707
9.995896339,714.8341064
10.02923012,715.366394
10.06256294,715.6647949
10.09589672,716.8808594
10.12922955,717.1858521
10.16256332,719.8168945
10.19589615,719.2211304
10.22922993,719.6828613
10.26256275,721.1854858
10.29589653,722.3463135
10.32922935,722.5203247
10.36256313,723.8894653
10.39589596,724.9361572
10.42922974,724.6598511
10.46256351,725.0686646
10.49589634,726.3877563
10.52923012,726.8914795
10.56256294,727.6467896
10.59589672,728.9335327
10.62922955,728.7037354
10.66256332,730.6794434
10.69589615,730.1876831
10.72922993,731.1799927
10.76256275,732.3474731
10.79589653,733.312561
10.82922935,733.6489868
10.86256313,734.3766479
10.89589596,735.1014404
10.92922974,736.3173218
10.96256351,736.4976196
10.99589634,737.9538574
11.02923012,738.2727661
11.06256294,739.3578491
11.09589672,738.8034668
11.12922955,740.2225342
11.16256332,740.4898071
11.19589615,740.9387207
11.22922993,741.2567139
11.26256275,742.0498047
11.29589653,742.9274292
11.32922935,743.5563354
11.36256313,744.1054688
11.39589596,744.8835449
11.42922974,746.0255127
11.46256351,746.6132202
11.49589634,746.8710327
11.52923012,747.2906494
11.56256294,747.4602661
11.59589672,748.727356
11.62922955,748.6972656
11.66256332,749.4495239
11.69589615,750.439209
11.72922993,750.6438599
11.76256275,751.5448608
11.79589653,752.2357788
11.82922935,753.0355225
11.86256313,752.7056274
11.89589596,753.3335571
11.92922974,753.7669067
11.96256351,754.0327148
11.99589634,754.751709
12.02923012,755.7606812
12.06256294,756.7098389
12.09589672,756.7841187
12.12922955,757.427002
12.16256332,758.3677979
12.19589615,758.0640869
12.22922993,758.5740967
12.26256275,758.2766113
12.29589653,760.5627441
12.32922935,758.9746094
12.36256313,760.6834717
12.39589596,761.3056641
12.42922974,762.5218506
12.46256351,761.8533325
12.49589634,762.7164307
12.52923012,763.9475708
12.56256294,764.0560303
12.59589672,764.987915
12.62922955,765.6069946
12.66256332,765.8137207
12.69589615,766.2827148
12.72922993,765.9330444
12.76256275,766.5828247
12.79589653,766.7987671
12.82922935,767.5341797
12.86256313,767.4414673
12.89589596,768.1067505
12.92922974,768.1983643
12.96256351,769.6990356
12.99589634,769.3024292
13.02923012,770.3529663
13.06256294,769.968811
13.09589672,770.7623291
13.12922955,770.6693115
13.16256332,770.93927
13.19589615,771.0812378
13.22922993,771.3709106
13.26256275,772.0756836
13.29589653,771.9243774
13.32922935,773.2237549
13.36256313,774.0177002
13.39589596,772.3562012
13.42922974,773.8372192
13.46256351,774.3491211
13.49589634,774.0397339
13.52923012,775.1378174
13.56256294,774.6090088
13.59589672,775.5543823
13.62922955,775.0407104
13.66256332,776.2576294
13.69589615,776.0426636
13.72922993,777.0630493
13.76256275,777.3691406
13.79589653,777.7212524
13.82922935,777.3674316
13.86256313,777.4885254
13.89589596,778.5436401
13.92922974,780.2645264
13.96256351,779.8248291
13.99589634,778.6746216
14.02923012,780.2143555
14.06256294,780.5491333
14.09589672,779.3532715
14.12922955,781.1706543
14.16256332,780.352417
14.19589615,781.6480713
14.22922993,782.3544312
14.26256275,782.0111694
14.29589653,782.1558838
14.32922935,782.1002197
14.36256313,782.973999
14.39589596,783.5606689
14.42922974,782.7972412
14.46256351,783.8317261
14.49589634,783.520813
14.52923012,783.651123
14.56256294,784.8828735
14.59589672,785.5847778
14.62922955,784.8639526
14.66256332,785.333374
14.69589615,785.7872925
14.72922993,785.2744141
14.76256275,785.9226074
14.79589653,786.2255249
14.82922935,787.2424316
14.86256313,786.5408936
14.89589596,786.4421387
14.92922974,787.541748
14.96256351,787.5236206
14.99589634,787.7910156
15.02923012,788.3840332
15.06256294,788.5137329
15.09589672,787.8968506
15.12922955,788.3087158
15.16256332,788.3753662
15.19589615,788.7807617
15.22922993,789.0787964
15.26256275,788.9871826
15.29589653,789.3399048
15.32922935,789.0143433
15.36256313,789.3266602
15.39589596,790.0910034
15.42922974,790.0248413
15.46256351,790.677002
15.49589634,790.9446411
15.52923012,789.9455566
