Time (min),Intensity (a.u.)
0.016666668,341.5478821
0.050000001,340.1371155
0.083333336,339.9237671
0.116666667,341.8676453
0.150000006,342.8338928
0.183333337,341.1567383
0.216666669,343.0065002
0.25,344.1166382
0.283333331,344.8825989
0.316666663,344.3887329
0.349999994,344.276947
0.383333325,345.8333435
0.416666657,346.1490784
0.449999988,347.5757141
0.483333319,347.1795654
0.516666651,348.9128418
0.550000012,349.674469
0.583333314,348.9005127
0.616666675,349.7612915
0.649999976,349.1689453
0.683333337,350.9207153
0.716666639,351.20755
0.75,351.3571167
0.783333361,351.990448
0.816666663,352.6544189
0.850000024,353.1916809
0.883333325,352.8079224
0.916666687,353.7047424
0.949999988,354.3009033
0.983333349,354.5404663
1.016666651,354.0869446
1.049999952,355.2473755
1.083333373,355.243042
1.116666675,357.120575
1.149999976,357.1836243
1.183333278,357.4231873
1.216666698,357.6515808
1.25,358.9483643
1.283333302,358.7480164
1.316666722,359.2401123
1.350000024,359.8459473
1.383333325,360.0683899
1.416666627,360.6473999
1.450000048,360.8688049
1.483333349,361.8141479
1.516666651,361.7000427
1.549999952,361.6785583
1.583333373,362.1927795
1.616666675,362.2731323
1.649999976,362.9508972
1.683333278,364.1618042
1.716666698,365.030304
1.75,365.0595398
1.783333302,365.3268433
1.816666722,364.7763977
1.850000024,365.5863037
1.883333325,366.1593933
1.916666627,367.4201355
1.950000048,367.2438049
1.983333349,367.5844116
2.016666651,366.9407043
2.049999952,368.4583435
2.083333254,368.0040894
2.116666555,368.3406982
2.150000095,369.0657959
2.183333397,369.7078552
2.216666698,369.9840088
2.25,369.9645996
2.283333302,370.1375732
2.316666603,370.0235901
2.349999905,370.6802979
2.383333445,371.2437744
2.416666746,371.3055725
2.450000048,372.120575
2.483333349,372.3449707
2.516666651,372.1062622
2.549999952,373.1137695
2.583333254,373.7458191
2.616666555,373.8319092
2.650000095,373.2926941
2.683333397,373.5895996
2.716666698,374.2008362
2.75,375.4585571
2.783333302,375.4736633
2.816666603,375.6077881
2.849999905,375.9038086
2.883333445,375.8943481
2.916666746,376.5709229
2.950000048,377.6648254
2.983333349,377.2125549
3.016666651,377.0592346
3.049999952,377.4283447
3.083333254,377.4736938
3.116666555,377.4975586
3.150000095,377.91922
3.183333397,378.629364
3.216666698,378.7990112
3.25,378.5666199
3.283333302,378.884491
3.316666603,379.0082703
3.349999905,378.9189758
3.383333445,379.3756104
3.416666746,379.2954102
3.450000048,379.5278931
3.483333349,379.7194214
3.516666651,380.603363
3.549999952,380.4321594
3.583333254,380.9779663
3.616666555,380.8287048
3.650000095,382.2301636
3.683333397,382.4042053
3.716666698,382.6523743
3.75,382.578949
3.783333302,382.7926941
3.816666603,382.6914368
3.849999905,382.8094482
3.883333445,383.1598511
3.916666746,383.1826172
3.950000048,384.0381775
3.983333349,383.9173889
4.016666889,384.0376587
4.050000191,384.0228271
4.083333492,384.1156311
4.116666794,384.6737061
4.150000095,384.6485291
4.183333397,384.8927612
4.216666698,385.2245483
4.25,385.8894043
4.283333302,386.1927185
4.316666603,386.6141357
4.349999905,386.4421997
4.383333206,386.7502747
4.416666508,387.510437
4.449999809,386.3439331
4.483333111,387.2425232
4.516666889,387.3065796
4.550000191,386.6361389
4.583333492,387.0085754
4.616666794,387.0988464
4.650000095,387.4326782
4.683333397,387.5814819
4.716666698,387.5005493
4.75,387.6300354
4.783333302,388.0859985
4.816666603,388.1163025
4.849999905,388.1856995
4.883333206,388.6557312
4.916666508,388.4649658
4.949999809,388.9861145
4.983333111,388.3224487
5.579354286,543.3922119
5.612687588,542.8884888
5.646020889,543.4291992
5.679354191,544.4250488
5.712687492,544.5090942
5.746020794,544.7019653
5.779354572,545.6156006
5.812687874,546.1543579
5.846021175,547.1295776
5.879354477,548.661377
5.912687778,549.6461792
5.94602108,550.1759644
5.979354382,550.7593384
6.012687683,551.4572754
6.046020985,554.0784912
6.079354286,552.8792725
6.112687588,554.1316528
6.146020889,555.5609131
6.179354191,556.8942261
6.212687492,557.7784424
6.246020794,560.0507813
6.279354572,561.2932739
6.312687874,561.6372681
6.346021175,562.4552002
6.379354477,563.9437256
6.412687778,565.4661865
6.44602108,566.4411011
6.479354382,566.8173828
6.512687683,568.6390381
6.546020985,569.4038086
6.579354286,570.8910522
6.612687588,572.4728394
6.646020889,573.6768188
6.679354191,574.3008423
6.712687492,575.7850342
6.746020794,577.4489136
6.779354572,577.8933716
6.812687874,578.8713989
6.846021175,579.8284302
6.879354477,581.0072632
6.912687778,582.3455811
6.94602108,583.6581421
6.979354382,584.4366455
7.012687683,585.2403564
7.046020985,586.8599854
7.079354286,587.8314209
7.112687588,588.7745972
7.146020889,590.0623169
7.179354191,590.6914063
7.212687492,591.569397
7.246020794,593.5135498
7.279354572,594.2035522
7.312687874,595.7959595
7.346021175,597.5482788
7.379354477,598.0755005
7.412687778,599.5545654
7.44602108,600.4932251
7.479354382,602.1913452
7.512687683,603.0065308
7.546020985,604.1417236
7.579354286,604.9777222
7.612687588,606.2310791
7.646020889,607.0357056
7.679354191,607.7022705
7.712687492,609.4428711
7.746020794,609.670105
7.779354572,611.9885254
7.812687874,612.3831177
7.846021175,614.6234131
7.879354477,614.9872437
7.912687778,616.1290283
7.94602108,617.2223511
7.979354382,618.4256592
