Time (min),Intensity (a.u.)
0.016666668,410.0161133
0.050000001,410.4747009
0.083333336,411.3738708
0.116666667,410.4190063
0.150000006,410.0258179
0.183333337,410.2138672
0.216666669,410.7551575
0.25,411.7435608
0.283333331,412.8859558
0.316666663,412.9068604
0.349999994,411.3882141
0.383333325,411.9367371
0.416666657,412.2028809
0.449999988,412.8754883
0.483333319,411.8156433
0.516666651,411.8488159
0.550000012,413.6116943
0.583333314,414.0033569
0.616666675,413.7340698
0.649999976,414.569458
0.683333337,414.4158936
0.716666639,413.9396973
0.75,414.741394
0.783333361,414.9691772
0.816666663,414.8132019
0.850000024,414.4790649
0.883333325,415.1148376
0.916666687,415.507843
0.949999988,416.0013733
0.983333349,417.0405273
1.016666651,417.3090515
1.049999952,417.0407104
1.083333373,417.4284668
1.116666675,417.3356628
1.149999976,418.2998962
1.183333278,417.6462708
1.216666698,418.9949036
1.25,419.0438538
1.283333302,418.9988098
1.316666722,419.0281372
1.350000024,419.3658752
1.383333325,418.809906
1.416666627,419.2455444
1.450000048,419.3400269
1.483333349,420.1628113
1.516666651,419.6622925
1.549999952,420.6374207
1.583333373,420.311676
1.616666675,420.1660767
1.649999976,422.1245728
1.683333278,421.7922668
1.716666698,422.008606
1.75,421.9769897
1.783333302,422.4161377
1.816666722,423.0533142
1.850000024,423.9941711
1.883333325,422.9629517
1.916666627,423.2020264
1.950000048,423.4039612
1.983333349,423.3487244
2.016666651,423.8803101
2.049999952,425.2184753
2.083333254,425.2796936
2.116666555,424.9206543
2.150000095,425.1523743
2.183333397,425.7170105
2.216666698,424.9499207
2.25,425.5294189
2.283333302,425.519989
2.316666603,426.8290405
2.349999905,426.2233276
2.383333445,426.7763367
2.416666746,426.8369141
2.450000048,427.5339966
2.483333349,428.0112305
2.516666651,427.7854614
2.549999952,429.1897278
2.583333254,428.9074707
2.616666555,428.462738
2.650000095,429.0198364
2.683333397,429.057251
2.716666698,428.9020386
2.75,429.726593
2.783333302,429.8803711
2.816666603,429.9911804
2.849999905,431.0802002
2.883333445,430.4884949
2.916666746,430.8497925
2.950000048,430.6795654
2.983333349,430.839447
3.016666651,431.1591187
3.049999952,431.2609253
3.083333254,431.9721069
3.116666555,432.0923157
3.150000095,432.0534058
3.183333397,432.411377
3.216666698,432.9306335
3.25,433.3518066
3.283333302,433.7015991
3.316666603,433.4168701
3.349999905,433.9189453
3.383333445,433.7501221
3.416666746,434.1333313
3.450000048,434.3194275
3.483333349,434.2597046
3.516666651,434.8145752
3.549999952,434.9557495
3.583333254,435.2205811
3.616666555,434.626709
3.650000095,435.2887573
3.683333397,435.5334778
3.716666698,435.7200623
3.75,435.3885498
3.783333302,435.8003235
3.816666603,436.4389343
3.849999905,436.3779602
3.883333445,436.4528198
3.916666746,436.9850769
3.950000048,437.3757629
3.983333349,437.5603333
4.016666889,437.8614807
4.050000191,437.7574463
4.083333492,437.318512
4.116666794,437.7314453
4.150000095,437.9428101
4.183333397,438.1089783
4.216666698,438.5613708
4.25,438.6435852
4.283333302,438.4690552
4.316666603,439.0198364
4.349999905,439.4821167
4.383333206,439.7215576
4.416666508,439.5505676
4.449999809,440.0575256
4.483333111,439.3389587
4.516666889,440.1062622
4.550000191,439.8687134
4.583333492,439.9151001
4.616666794,440.7087708
4.650000095,441.3545532
4.683333397,442.3330688
4.716666698,441.8828735
4.75,442.5955811
4.783333302,442.7116699
4.816666603,442.2722778
4.849999905,442.0882568
4.883333206,442.6336365
4.916666508,443.0256653
4.949999809,443.2512817
4.983333111,443.5827637
5.732020855,424.9072571
5.765354633,424.521698
5.798687935,423.9942322
5.832021236,424.9634094
5.865354538,425.0248718
5.89868784,425.5351868
5.932021141,425.7218018
5.965354443,424.8624878
5.998687744,425.2387695
6.032021046,425.3824158
6.065354347,425.3027344
6.098687649,426.7096252
6.13202095,426.9707031
6.165354252,426.6141968
6.198687553,426.5679932
6.232020855,426.2828674
6.265354633,426.500061
6.298687935,426.8713989
6.332021236,426.9429932
6.365354538,427.8487854
6.39868784,427.1496277
6.432021141,426.9849548
6.465354443,427.89151
6.498687744,428.2649231
6.532021046,427.9213257
6.565354347,427.2567139
6.598687649,427.3981018
6.63202095,427.484375
6.665354252,427.8793335
6.698687553,427.5596313
6.732020855,427.7154541
6.765354633,428.6726074
6.798687935,428.0274658
6.832021236,429.0651245
6.865354538,428.5883179
6.89868784,428.1217041
6.932021141,428.9030151
6.965354443,428.1034546
6.998687744,428.5944214
7.032021046,429.2494812
7.065354347,429.7666931
7.098687649,428.9963989
7.13202095,430.3847656
7.165354252,430.4450073
7.198687553,430.249939
7.232020855,430.0559387
7.265354633,430.5219727
7.298687935,430.5535889
7.332021236,430.5666809
7.365354538,430.6490479
7.39868784,430.0026245
7.432021141,430.6710205
7.465354443,431.1482544
7.498687744,431.0523987
7.532021046,431.1650696
7.565354347,430.6044006
7.598687649,431.1098633
7.63202095,431.7911682
7.665354252,432.1690369
7.698687553,431.5256958
7.732020855,431.637085
7.765354633,431.8919373
7.798687935,433.0152588
7.832021236,432.5389099
7.865354538,432.3217163
7.89868784,432.5192566
7.932021141,432.1902466
7.965354443,432.068573
7.998687744,431.6836243
8.032021523,431.6673279
8.065354347,433.1935425
8.098688126,433.0401001
8.13202095,432.639679
8.165354729,433.3700256
8.198687553,433.1194763
8.232021332,432.7779236
8.265354156,433.317749
8.298687935,432.7730713
8.33202076,433.3392944
8.365354538,432.9723511
8.398687363,433.2430115
8.432021141,434.1885376
8.465353966,433.7466431
8.498687744,434.4632568
8.532021523,433.7891235
8.565354347,434.4618835
8.598688126,434.7169189
8.63202095,434.3319092
8.665354729,434.7162476
8.698687553,434.6981201
8.732021332,435.2217407
8.765354156,434.9251404
8.798687935,435.5487061
8.83202076,435.4105835
8.865354538,435.796051
8.898687363,436.3257141
8.932021141,436.030304
8.965353966,435.5811768
8.998687744,436.02948
9.032021523,436.3483887
9.065354347,436.1707153
9.098688126,436.3390503
9.13202095,436.381897
9.165354729,436.9179993
9.198687553,436.5415955
9.232021332,436.4979248
9.265354156,437.0733032
9.298687935,436.1832886
9.33202076,436.571228
9.365354538,436.3860168
9.398687363,436.2018433
9.432021141,436.7238159
9.465353966,436.4193726
9.498687744,436.105011
9.532021523,436.1948853
9.565354347,436.8978882
9.598688126,437.1410522
9.63202095,436.9179077
9.665354729,437.4064941
9.698687553,437.0641174
9.732021332,436.9676208
9.765354156,437.1313782
9.798687935,436.8894043
9.83202076,437.2825623
9.865354538,437.5404358
9.898687363,437.3365784
9.932021141,437.6823425
9.965353966,437.7422485
9.998687744,437.6279297
10.03202152,438.7075195
10.06535435,438.7298279
10.09868813,439.0777893
10.13202095,439.1164551
10.16535473,438.7570801
10.19868755,439.1140137
10.23202133,439.5345764
10.26535416,439.9315491
10.29868793,439.4375305
10.33202076,440.1101074
10.36535454,439.8288879
10.39868736,439.5728149
10.43202114,440.1769104
10.46535397,440.2342834
10.49868774,440.2254639
10.53202152,439.7522278
10.56535435,440.757843
10.59868813,441.3016663
10.63202095,440.5792847
10.66535473,440.5385132
10.69868755,440.8086853
10.73202133,440.5569763
10.76535416,440.5562134
10.79868793,441.2140503
10.83202076,441.1085815
10.86535454,440.9491272
10.89868736,441.2980347
10.93202114,441.3978271
10.96535397,441.1562195
10.99868774,441.8643188
11.03202152,442.0005798
11.06535435,441.7437134
11.09868813,441.7218323
11.13202095,441.8371277
11.16535473,442.1486511
11.19868755,442.8718872
11.23202133,442.993042
11.26535416,442.438324
11.29868793,442.9133301
11.33202076,442.8939514
11.36535454,443.1384277
11.39868736,442.5742493
11.43202114,443.2437744
11.46535397,443.2402954
11.49868774,443.004364
11.53202152,443.381958
11.56535435,443.4421082
11.59868813,443.2995911
11.63202095,443.2367249
11.66535473,444.1963196
11.69868755,444.2546082
11.73202133,444.1282349
11.76535416,443.9992065
11.79868793,444.0429077
11.83202076,444.37854
11.86535454,444.0779724
11.89868736,444.7244263
11.93202114,444.6799316
11.96535397,444.3616333
11.99868774,445.0183411
12.03202152,444.736084
12.06535435,444.646698
12.09868813,445.4829407
12.13202095,445.5562744
12.16535473,445.3477478
12.19868755,445.6775208
12.23202133,445.9715576
12.26535416,446.0379333
12.29868793,445.8378601
12.33202076,446.3052979
12.36535454,446.1351318
12.39868736,445.9241943
12.43202114,446.1739502
12.46535397,446.4485779
12.49868774,446.7909241
12.53202152,446.6407471
12.56535435,446.9570923
12.59868813,446.5021973
12.63202095,446.9632568
12.66535473,447.1194458
12.69868755,446.997467
12.73202133,447.0803223
12.76535416,447.3769531
12.79868793,447.585022
12.83202076,447.928894
12.86535454,447.7116699
12.89868736,447.4230652
12.93202114,447.3705444
12.96535397,447.3771973
12.99868774,447.9814758
13.03202152,448.4187012
13.06535435,447.956604
13.09868813,447.7729187
13.13202095,448.2958679
